k[1/Mpc], k[h/Mpc], Delta2_lin, Delta2_nl, Delta2_nl_30
7.386423718387681841e-04,1.089282365195056931e-03,2.760191534379890943e-07,2.758121611849603743e-07,2.758121606802894093e-07
7.454803803303041137e-04,1.099366436116065628e-03,2.861913162031576294e-07,2.859747152366693864e-07,2.859747147092189526e-07
7.523816919329437674e-04,1.109543860688606050e-03,2.967369211729834476e-07,2.965102665650539436e-07,2.965102660144844337e-07
7.593468926775282955e-04,1.119815503137484500e-03,3.076696077900484934e-07,3.074324340760430535e-07,3.074324335001015187e-07
7.663765740201034047e-04,1.130182235688103991e-03,3.190035104108439193e-07,3.187553306452480772e-07,3.187553300411921425e-07
7.734713328921378681e-04,1.140644938640521765e-03,3.307532761210403654e-07,3.304935808900196639e-07,3.304935802563634746e-07
7.806317717512153975e-04,1.151204500444204812e-03,3.429340829315117238e-07,3.426623393204986725e-07,3.426623386582401923e-07
7.878584986321947835e-04,1.161861817773476900e-03,3.555616572473317853e-07,3.552773077627293603e-07,3.552773070714328965e-07
7.951521271988372169e-04,1.172617795603653201e-03,3.686522944070988234e-07,3.683547558480507929e-07,3.683547551248933967e-07
8.025132767959182499e-04,1.183473347287890059e-03,3.822228798484065223e-07,3.819115421264209827e-07,3.819115413679779938e-07
8.099425725018227686e-04,1.194429394634748164e-03,3.962909102906417560e-07,3.959651351952912272e-07,3.959651343997220430e-07
8.174406451816187491e-04,1.205486867986460238e-03,4.108745162479892732e-07,4.105336361557460839e-07,4.105336353243221010e-07
